文件名,系数值,运行时间(秒)
naca0012_c10_p14751,0.02560457,14.84
naca0012_c10_p24651,0.02455475,23.04
naca0012_c10_p34551,0.0241886,35.33
naca0012_c10_p44451,0.02441965,53.32
naca0012_c10_p54351,0.02466931,80.72
